Crop,District,Year,Month,Price_INR_per_Quintal
Rice,Bengaluru Urban,2021,1,2633.74
Rice,Bengaluru Urban,2021,2,2464.2
Rice,Bengaluru Urban,2021,3,2282.7
Rice,Bengaluru Urban,2021,4,2635.36
Rice,Bengaluru Urban,2021,5,2462.31
Rice,Bengaluru Urban,2021,6,2289.2
Rice,Bengaluru Urban,2021,7,2419.12
Rice,Bengaluru Urban,2021,8,2704.16
Rice,Bengaluru Urban,2021,9,2612.32
Rice,Bengaluru Urban,2021,10,2345.87
Rice,Bengaluru Urban,2021,11,2226.71
Rice,Bengaluru Urban,2021,12,2717.77
Rice,Bengaluru Urban,2022,1,2212.9
Rice,Bengaluru Urban,2022,2,2823.56
Rice,Bengaluru Urban,2022,3,2089.5
Rice,Bengaluru Urban,2022,4,2510.06
Rice,Bengaluru Urban,2022,5,2408.08
Rice,Bengaluru Urban,2022,6,2170.28
Rice,Bengaluru Urban,2022,7,2610.56
Rice,Bengaluru Urban,2022,8,2177.53
Rice,Bengaluru Urban,2022,9,2350.43
Rice,Bengaluru Urban,2022,10,2591.52
Rice,Bengaluru Urban,2022,11,2558.46
Rice,Bengaluru Urban,2022,12,2529.13
Rice,Bengaluru Urban,2023,1,2138.02
Rice,Bengaluru Urban,2023,2,2824.38
Rice,Bengaluru Urban,2023,3,2542.04
Rice,Bengaluru Urban,2023,4,2468.11
Rice,Bengaluru Urban,2023,5,2765.22
Rice,Bengaluru Urban,2023,6,2747.28
Rice,Bengaluru Urban,2023,7,1954.29
Rice,Bengaluru Urban,2023,8,2148.8
Rice,Bengaluru Urban,2023,9,2405.63
Rice,Bengaluru Urban,2023,10,2167.01
Rice,Bengaluru Urban,2023,11,2626.9
Rice,Bengaluru Urban,2023,12,2425.61
Rice,Bengaluru Urban,2024,1,2868.43
Rice,Bengaluru Urban,2024,2,2578.39
Rice,Bengaluru Urban,2024,3,2332.99
Rice,Bengaluru Urban,2024,4,2616.73
Rice,Bengaluru Urban,2024,5,2880.51
Rice,Bengaluru Urban,2024,6,2258.06
Rice,Bengaluru Urban,2024,7,2339.91
Rice,Bengaluru Urban,2024,8,2339.65
Rice,Bengaluru Urban,2024,9,2696.88
Rice,Bengaluru Urban,2024,10,2671.66
Rice,Bengaluru Urban,2024,11,2476.57
Rice,Bengaluru Urban,2024,12,2366.99
Rice,Bengaluru Urban,2025,1,2262.99
Rice,Bengaluru Urban,2025,2,2988.22
Rice,Bengaluru Urban,2025,3,2368.15
Rice,Bengaluru Urban,2025,4,2855.85
Rice,Bengaluru Urban,2025,5,2670.38
Rice,Bengaluru Urban,2025,6,2828.64
Rice,Bengaluru Urban,2025,7,2488.91
Rice,Bengaluru Urban,2025,8,2857.69
Rice,Bengaluru Urban,2025,9,2164.91
Rice,Bengaluru Urban,2025,10,2414.48
Rice,Bengaluru Urban,2025,11,2556.1
Rice,Bengaluru Urban,2025,12,2500.76
Rice,Mysuru,2010,1,2054.39
Rice,Mysuru,2010,2,1690.35
Rice,Mysuru,2010,3,2165.51
Rice,Mysuru,2010,4,1861.45
Rice,Mysuru,2010,5,2089.42
Rice,Mysuru,2010,6,1456.92
Rice,Mysuru,2010,7,1738.46
Rice,Mysuru,2010,8,1755.03
Rice,Mysuru,2010,9,1915.87
Rice,Mysuru,2010,10,2065.45
Rice,Mysuru,2010,11,1687.05
Rice,Mysuru,2010,12,1580.53
Rice,Mysuru,2011,1,2101.76
Rice,Mysuru,2011,2,1803.39
Rice,Mysuru,2011,3,2134.9
Rice,Mysuru,2011,4,1674.84
Rice,Mysuru,2011,5,1715.33
Rice,Mysuru,2011,6,1698.18
Rice,Mysuru,2011,7,2124.38
Rice,Mysuru,2011,8,1550.76
Rice,Mysuru,2011,9,1931.41
Rice,Mysuru,2011,10,1965.29
Rice,Mysuru,2011,11,1581.31
Rice,Mysuru,2011,12,2262.58
Rice,Mysuru,2012,1,1730.0
Rice,Mysuru,2012,2,2045.5
Rice,Mysuru,2012,3,1890.64
Rice,Mysuru,2012,4,2162.03
Rice,Mysuru,2012,5,1809.14
Rice,Mysuru,2012,6,1959.4
Rice,Mysuru,2012,7,1801.18
Rice,Mysuru,2012,8,2264.41
Rice,Mysuru,2012,9,1520.66
Rice,Mysuru,2012,10,2200.18
Rice,Mysuru,2012,11,1811.93
Rice,Mysuru,2012,12,2202.13
Rice,Mysuru,2013,1,1690.65
Rice,Mysuru,2013,2,1765.09
Rice,Mysuru,2013,3,2124.69
Rice,Mysuru,2013,4,1945.68
Rice,Mysuru,2013,5,2208.04
Rice,Mysuru,2013,6,2308.25
Rice,Mysuru,2013,7,1898.0
Rice,Mysuru,2013,8,1859.4
Rice,Mysuru,2013,9,1557.81
Rice,Mysuru,2013,10,1936.49
Rice,Mysuru,2013,11,1799.42
Rice,Mysuru,2013,12,1873.5
Rice,Mysuru,2014,1,2406.65
Rice,Mysuru,2014,2,1873.21
Rice,Mysuru,2014,3,1707.48
Rice,Mysuru,2014,4,1760.75
Rice,Mysuru,2014,5,1750.68
Rice,Mysuru,2014,6,1718.08
Rice,Mysuru,2014,7,1567.81
Rice,Mysuru,2014,8,2312.99
Rice,Mysuru,2014,9,2135.94
Rice,Mysuru,2014,10,1899.99
Rice,Mysuru,2014,11,2185.03
Rice,Mysuru,2014,12,2321.6
Rice,Mysuru,2015,1,2422.44
Rice,Mysuru,2015,2,2348.25
Rice,Mysuru,2015,3,1767.34
Rice,Mysuru,2015,4,1953.07
Rice,Mysuru,2015,5,2092.59
Rice,Mysuru,2015,6,1935.81
Rice,Mysuru,2015,7,2084.36
Rice,Mysuru,2015,8,1946.68
Rice,Mysuru,2015,9,2171.56
Rice,Mysuru,2015,10,2073.86
Rice,Mysuru,2015,11,2123.93
Rice,Mysuru,2015,12,2325.04
Rice,Mysuru,2016,1,2376.9
Rice,Mysuru,2016,2,2359.41
Rice,Mysuru,2016,3,1963.16
Rice,Mysuru,2016,4,1766.38
Rice,Mysuru,2016,5,2437.87
Rice,Mysuru,2016,6,1789.18
Rice,Mysuru,2016,7,1898.41
Rice,Mysuru,2016,8,2137.87
Rice,Mysuru,2016,9,2206.53
Rice,Mysuru,2016,10,2147.69
Rice,Mysuru,2016,11,1623.6
Rice,Mysuru,2016,12,2431.15
Rice,Mysuru,2017,1,1837.35
Rice,Mysuru,2017,2,2252.65
Rice,Mysuru,2017,3,1978.85
Rice,Mysuru,2017,4,2502.26
Rice,Mysuru,2017,5,2529.34
Rice,Mysuru,2017,6,1796.14
Rice,Mysuru,2017,7,1867.13
Rice,Mysuru,2017,8,2005.95
Rice,Mysuru,2017,9,2261.58
Rice,Mysuru,2017,10,2503.73
Rice,Mysuru,2017,11,1937.43
Rice,Mysuru,2017,12,2282.95
Rice,Mysuru,2018,1,2053.92
Rice,Mysuru,2018,2,2575.33
Rice,Mysuru,2018,3,1999.94
Rice,Mysuru,2018,4,2294.89
Rice,Mysuru,2018,5,2255.61
Rice,Mysuru,2018,6,2583.14
Rice,Mysuru,2018,7,2123.67
Rice,Mysuru,2018,8,1990.95
Rice,Mysuru,2018,9,2082.86
Rice,Mysuru,2018,10,2517.36
Rice,Mysuru,2018,11,1762.99
Rice,Mysuru,2018,12,1893.3
Rice,Mysuru,2019,1,1898.22
Rice,Mysuru,2019,2,2002.79
Rice,Mysuru,2019,3,1987.36
Rice,Mysuru,2019,4,2326.12
Rice,Mysuru,2019,5,2092.26
Rice,Mysuru,2019,6,2033.41
Rice,Mysuru,2019,7,2017.21
Rice,Mysuru,2019,8,1896.22
Rice,Mysuru,2019,9,2038.51
Rice,Mysuru,2019,10,2450.73
Rice,Mysuru,2019,11,1876.05
Rice,Mysuru,2019,12,2045.82
Rice,Mysuru,2020,1,1973.0
Rice,Mysuru,2020,2,2576.4
Rice,Mysuru,2020,3,2279.85
Rice,Mysuru,2020,4,2276.62
Rice,Mysuru,2020,5,2406.69
Rice,Mysuru,2020,6,2113.48
Rice,Mysuru,2020,7,2347.33
Rice,Mysuru,2020,8,2218.04
Rice,Mysuru,2020,9,2154.61
Rice,Mysuru,2020,10,2587.51
Rice,Mysuru,2020,11,2317.25
Rice,Mysuru,2020,12,2229.41
Rice,Mysuru,2021,1,2532.49
Rice,Mysuru,2021,2,2496.5
Rice,Mysuru,2021,3,2734.09
Rice,Mysuru,2021,4,2248.72
Rice,Mysuru,2021,5,2581.67
Rice,Mysuru,2021,6,2604.33
Rice,Mysuru,2021,7,2608.04
Rice,Mysuru,2021,8,2459.08
Rice,Mysuru,2021,9,2442.24
Rice,Mysuru,2021,10,2070.09
Rice,Mysuru,2021,11,2283.46
Rice,Mysuru,2021,12,2034.63
Rice,Mysuru,2022,1,2145.65
Rice,Mysuru,2022,2,2595.41
Rice,Mysuru,2022,3,2709.02
Rice,Mysuru,2022,4,2759.69
Rice,Mysuru,2022,5,2754.28
Rice,Mysuru,2022,6,2360.79
Rice,Mysuru,2022,7,2677.63
Rice,Mysuru,2022,8,2145.88
Rice,Mysuru,2022,9,2555.88
Rice,Mysuru,2022,10,2110.38
Rice,Mysuru,2022,11,2153.63
Rice,Mysuru,2022,12,2795.27
Rice,Mysuru,2023,1,2549.79
Rice,Mysuru,2023,2,2087.57
Rice,Mysuru,2023,3,2807.21
Rice,Mysuru,2023,4,2380.4
Rice,Mysuru,2023,5,2404.64
Rice,Mysuru,2023,6,2559.7
Rice,Mysuru,2023,7,2604.5
Rice,Mysuru,2023,8,2317.98
Rice,Mysuru,2023,9,2004.57
Rice,Mysuru,2023,10,2619.77
Rice,Mysuru,2023,11,2042.39
Rice,Mysuru,2023,12,2611.79
Rice,Mysuru,2024,1,2451.62
Rice,Mysuru,2024,2,2926.79
Rice,Mysuru,2024,3,2444.6
Rice,Mysuru,2024,4,2565.51
Rice,Mysuru,2024,5,2765.78
Rice,Mysuru,2024,6,2317.61
Rice,Mysuru,2024,7,2588.51
Rice,Mysuru,2024,8,2249.35
Rice,Mysuru,2024,9,2542.13
Rice,Mysuru,2024,10,2532.07
Rice,Mysuru,2024,11,2390.85
Rice,Mysuru,2024,12,2697.5
Rice,Mysuru,2025,1,2579.96
Rice,Mysuru,2025,2,2435.25
Rice,Mysuru,2025,3,2693.91
Rice,Mysuru,2025,4,2604.92
Rice,Mysuru,2025,5,2727.89
Rice,Mysuru,2025,6,2262.01
Rice,Mysuru,2025,7,2404.69
Rice,Mysuru,2025,8,2270.0
Rice,Mysuru,2025,9,2817.13
Rice,Mysuru,2025,10,2340.18
Rice,Mysuru,2025,11,2146.89
Rice,Mysuru,2025,12,2718.11
Rice,Mandya,2010,1,2197.72
Rice,Mandya,2010,2,2156.63
Rice,Mandya,2010,3,1715.45
Rice,Mandya,2010,4,2113.63
Rice,Mandya,2010,5,1712.75
Rice,Mandya,2010,6,1895.84
Rice,Mandya,2010,7,1383.62
Rice,Mandya,2010,8,1381.53
Rice,Mandya,2010,9,1678.98
Rice,Mandya,2010,10,2042.12
Rice,Mandya,2010,11,1904.92
Rice,Mandya,2010,12,1758.27
Rice,Mandya,2011,1,1523.73
Rice,Mandya,2011,2,2237.88
Rice,Mandya,2011,3,1772.27
Rice,Mandya,2011,4,1505.63
Rice,Mandya,2011,5,2088.86
Rice,Mandya,2011,6,2097.29
Rice,Mandya,2011,7,2095.52
Rice,Mandya,2011,8,1790.24
Rice,Mandya,2011,9,2100.05
Rice,Mandya,2011,10,1923.91
Rice,Mandya,2011,11,1613.01
Rice,Mandya,2011,12,1728.08
Rice,Mandya,2012,1,1854.16
Rice,Mandya,2012,2,1790.27
Rice,Mandya,2012,3,2120.48
Rice,Mandya,2012,4,1793.24
Rice,Mandya,2012,5,1666.44
Rice,Mandya,2012,6,2110.45
Rice,Mandya,2012,7,1681.82
Rice,Mandya,2012,8,2098.9
Rice,Mandya,2012,9,1919.99
Rice,Mandya,2012,10,2044.36
Rice,Mandya,2012,11,1531.3
Rice,Mandya,2012,12,2180.25
Rice,Mandya,2013,1,2256.89
Rice,Mandya,2013,2,1974.6
Rice,Mandya,2013,3,1889.45
Rice,Mandya,2013,4,2229.44
Rice,Mandya,2013,5,1868.48
Rice,Mandya,2013,6,2200.06
Rice,Mandya,2013,7,2066.73
Rice,Mandya,2013,8,2209.54
Rice,Mandya,2013,9,1709.46
Rice,Mandya,2013,10,1800.89
Rice,Mandya,2013,11,2157.87
